id,titulo,autor,precio,idEditorial
1,Voyatouch,Si Sheers,544.67,1
2,Solarbreeze,Sancho Keoghane,482.34,1
3,Solarbreeze,Shayne Cosins,990.36,5
4,Zamit,Melly Beltzner,178.59,6
5,Redhold,Burr Plunket,821.49,2
6,Keylex,Patrizio Hanbidge,190.44,1
7,Tresom,Ginni McGilroy,824.09,2
8,Bigtax,Sabrina Hawkeswood,946.69,1
9,Konklab,Hastie Creber,711.51,1
10,Domainer,Ruddie Estcot,639.69,1
11,Flexidy,Cally Tarver,10.92,6
12,Sub-Ex,Blondy Strewther,359.77,1
13,Asoka,Andres Ogdahl,374.75,4
14,Bitwolf,Brigitte Tenby,636.18,2
15,Subin,Jewell Birtonshaw,437.66,3
16,Zamit,Beale Mazzia,548.18,2
17,Stronghold,Elaina Sawrey,731.24,6
18,Namfix,Selina Greenroa,924.72,2
19,Voltsillam,Carlin Baskerville,874.95,1
20,Zoolab,Adelheid MacLaughlin,759.85,6
21,Flowdesk,Paola Throssell,77.18,4
22,Flowdesk,Isabella Colchett,830.5,5
23,Voltsillam,Tiebold Dwerryhouse,713.08,6
24,Greenlam,Karim Caughtry,997.63,1
25,Wrapsafe,Winnie Arnaudet,258.25,4
26,Prodder,Mufinella Iannitti,933.3,6
27,Bigtax,Rudy Lechmere,12.04,2
28,Cookley,Hewie Aspland,959.17,3
29,Domainer,Eirena Mouth,508.69,6
30,Redhold,Haydon Simm,885.96,3
31,Bitwolf,Augie Carlesi,540.24,2
32,Bamity,Daniella Benedyktowicz,769.12,6
33,Prodder,Tobe Vowdon,161.21,5
34,Domainer,Linus Linthead,102.52,2
35,Job,Gaultiero Abrashkin,333.68,5
36,Zaam-Dox,Pandora De Lacey,460.66,5
37,Zamit,Kassandra Shevlin,597.9,2
38,Sonsing,Roxanna Deetlefs,832.14,6
39,Cardify,Janie Haugh,865.85,2
40,Bitwolf,Kathleen Gurden,807.5,3
41,Aerified,Joelly Lewing,212.84,2
42,Fixflex,Berk Adamowitz,642.02,1
43,Daltfresh,Carmelia Krystof,205.33,6
44,Fixflex,Sauncho De Normanville,972.12,3
45,Ronstring,Lee Porter,23.35,4
46,Ventosanzap,Zenia Dearl,361.66,5
47,Biodex,Shaylyn Opie,863.51,6
48,Alphazap,Zandra Mawne,763.96,4
49,Voyatouch,Katrina Sivorn,760.7,2
50,Fixflex,Fanya Lashbrook,431.48,3
51,Keylex,Ava Stockings,707.83,4
52,Tampflex,Beverie Melmar,819.94,3
53,Konklux,Buddie McLanachan,96.37,5
54,Toughjoyfax,Reinwald Cholerton,829.71,3
55,Stringtough,Carlin Cayet,533.04,2
56,Otcom,Revkah Learmonth,829.48,1
57,Zaam-Dox,Brandise De Lasci,623.96,5
58,Transcof,Lanny Benbow,879.48,3
59,Quo Lux,Gnni Hail,876.04,2
60,Voltsillam,Pollyanna Bakster,350.14,5
61,Bigtax,Perkin Mars,372.59,6
62,Bitwolf,Roanne Casazza,903.6,2
63,Konklux,Clemens Edison,430.1,3
64,Alphazap,Cele Pinney,958.78,5
65,Overhold,Cly Adriani,662.7,4
66,Alpha,Doretta Knotte,45.9,2
67,Zoolab,Caye McKerley,261.47,2
68,It,Helenka Counter,28.65,1
69,Temp,Rhys Maxwale,740.36,4
70,Opela,Chicky Rodolf,658.28,6
71,Veribet,Winston Nutkins,872.81,6
72,Cookley,Conrad Eversfield,165.67,5
73,Flowdesk,Peg Kiln,263.13,1
74,Vagram,Armando Ligertwood,822.2,4
75,Bamity,Monty Grigoire,993.73,4
76,Redhold,Andria Colcutt,50.31,3
77,Lotlux,Bibbye Broodes,768.77,3
78,Trippledex,Diena Bastiman,584.06,2
79,Lotlux,Nowell Wheway,283.08,5
